time/total_timesteps,time/iterations,train/explained_variance,train/learning_rate,train/policy_loss,train/std,time/time_elapsed,train/entropy_loss,train/n_updates,train/reward,time/fps,train/value_loss
500,100,-1.1920928955078125e-07,0.0007,-71.072509765625,1.0017362833023071,4,-39.77056884765625,99,-0.5101519,116,3.865711212158203
1000,200,0.0,0.0007,-5.711035251617432,1.0014870166778564,10,-39.76422119140625,199,0.33071113,97,1.3149323463439941
1500,300,0.0,0.0007,-62.63365936279297,1.0023276805877686,16,-39.790828704833984,299,-1.7093005,92,4.204943656921387
2000,400,0.0,0.0007,6.430039405822754,1.001694917678833,20,-39.77159881591797,399,1.4463226,98,1.8833357095718384
2500,500,-1.1920928955078125e-07,0.0007,-47.44635009765625,0.9995821118354797,25,-39.70766830444336,499,0.5925344,97,2.0917792320251465
3000,600,-1.1920928955078125e-07,0.0007,88.20772552490234,0.9977794885635376,31,-39.659149169921875,599,4.5380607,94,10.224225997924805
3500,700,0.3920721411705017,0.0007,7.812463283538818,0.9992143511772156,38,-39.700775146484375,699,1.2994657,91,0.39530184864997864
4000,800,0.020318925380706787,0.0007,-32.484886169433594,0.9999423623085022,44,-39.71521759033203,799,1.5562606,89,1.3353677988052368
4500,900,-0.004274249076843262,0.0007,-2.0135440826416016,1.000947117805481,51,-39.745304107666016,899,-0.9881759,87,0.6002472639083862
5000,1000,-1.1920928955078125e-07,0.0007,165.77981567382812,1.00196373462677,57,-39.764503479003906,999,0.057913072,86,19.233915328979492
5500,1100,0.0,0.0007,25.465679168701172,1.0051329135894775,63,-39.858673095703125,1099,0.9226159,86,12.218770980834961
6000,1200,1.1920928955078125e-07,0.0007,132.4469757080078,1.0078070163726807,67,-39.931297302246094,1199,3.193423,89,74.10873413085938
6500,1300,0.0,0.0007,-762.6915283203125,1.0087409019470215,71,-39.95269775390625,1299,-0.2883138,90,457.90325927734375
7000,1400,0.16576427221298218,0.0007,-14.141728401184082,1.0075433254241943,75,-39.919898986816406,1399,-0.71872276,92,1.0983116626739502
7500,1500,0.0,0.0007,15.140040397644043,1.007664442062378,79,-39.91999435424805,1499,0.31063095,93,0.5124205350875854
8000,1600,-1.1920928955078125e-07,0.0007,72.89315795898438,1.0081413984298706,84,-39.936065673828125,1599,0.89967287,95,3.573960781097412
8500,1700,0.0,0.0007,325.135498046875,1.0072596073150635,88,-39.904869079589844,1699,1.6936907,96,74.27779388427734
9000,1800,0.0,0.0007,66.83247375488281,1.008486032485962,92,-39.94353485107422,1799,-1.6910698,97,6.345645904541016
9500,1900,1.7881393432617188e-07,0.0007,557.9946899414062,1.0078496932983398,96,-39.927696228027344,1899,-4.2734904,98,236.7085418701172
10000,2000,0.0,0.0007,232.2895050048828,1.0072146654129028,100,-39.908241271972656,1999,-4.1598997,99,38.37854766845703
10500,2100,0.3239685297012329,0.0007,27.44647789001465,1.008594274520874,104,-39.9476203918457,2099,-2.911877,100,4.835524082183838
11000,2200,0.3527674078941345,0.0007,-46.83652114868164,1.00970458984375,108,-39.97089385986328,2199,-1.279046,100,1.814009666442871
11500,2300,1.1920928955078125e-07,0.0007,41.49512481689453,1.0112978219985962,113,-40.01414108276367,2299,-0.5845386,101,3.5702922344207764
12000,2400,0.0,0.0007,90.84248352050781,1.0111008882522583,117,-40.009925842285156,2399,1.9780738,102,6.800731658935547
12500,2500,1.1920928955078125e-07,0.0007,207.13101196289062,1.01347815990448,121,-40.072364807128906,2499,-2.181828,103,35.61201858520508
13000,2600,0.0,0.0007,-179.96804809570312,1.0153502225875854,125,-40.12754440307617,2599,1.9510456,103,20.572507858276367
13500,2700,0.0,0.0007,-73.27183532714844,1.015242576599121,129,-40.11841583251953,2699,-0.3924326,104,4.418469429016113
14000,2800,0.16492503881454468,0.0007,117.7805404663086,1.014238953590393,133,-40.09010696411133,2799,-0.39331335,104,8.675580024719238
14500,2900,0.1738545298576355,0.0007,104.3735122680664,1.0124175548553467,138,-40.038299560546875,2899,-0.45268807,105,6.5808210372924805
15000,3000,0.0,0.0007,16.186901092529297,1.0140918493270874,142,-40.084590911865234,2999,-0.2475246,105,3.4769539833068848
15500,3100,0.0,0.0007,44.704811096191406,1.0168761014938354,147,-40.165374755859375,3099,-6.212375,105,15.066925048828125
16000,3200,0.012987494468688965,0.0007,924.5516357421875,1.0177019834518433,153,-40.18715286254883,3199,-0.09903238,103,701.241455078125
16500,3300,0.0,0.0007,-460.7933654785156,1.0187908411026,160,-40.21282196044922,3299,-7.477385,102,204.94290161132812
17000,3400,-0.22841036319732666,0.0007,28.881938934326172,1.0172597169876099,166,-40.17023468017578,3399,0.71341515,102,1.4829785823822021
17500,3500,0.0,0.0007,2.480980396270752,1.0167255401611328,172,-40.15684127807617,3499,-0.18154529,101,1.1054084300994873
18000,3600,-1.1920928955078125e-07,0.0007,-39.242591857910156,1.0160115957260132,179,-40.14288330078125,3599,0.8926848,100,0.9985975027084351
18500,3700,1.1920928955078125e-07,0.0007,35.66484832763672,1.0174229145050049,185,-40.180320739746094,3699,0.1680267,99,5.126698970794678
19000,3800,0.0,0.0007,107.08699035644531,1.0170565843582153,192,-40.166419982910156,3799,0.6715594,98,20.52878189086914
19500,3900,0.0,0.0007,462.2960510253906,1.0187820196151733,198,-40.21051788330078,3899,-3.3077538,98,135.52394104003906
20000,4000,0.0,0.0007,12.172966957092285,1.0179693698883057,205,-40.19908142089844,3999,2.357021,97,47.99105453491211
20500,4100,0.0,0.0007,166.93899536132812,1.0206228494644165,211,-40.25863265991211,4099,-1.3758389,96,17.622303009033203
21000,4200,0.0,0.0007,-62.70143508911133,1.020453691482544,218,-40.258827209472656,4199,-0.000738757,96,2.7419445514678955
21500,4300,0.0,0.0007,-15.321060180664062,1.0197255611419678,225,-40.236324310302734,4299,1.9083579,95,0.4025702476501465
22000,4400,0.0,0.0007,15.316022872924805,1.0210142135620117,232,-40.27423858642578,4399,0.383019,94,2.2536683082580566
22500,4500,0.0,0.0007,-26.008224487304688,1.0225098133087158,238,-40.31147384643555,4499,-0.45586628,94,3.374380111694336
23000,4600,5.960464477539063e-08,0.0007,259.5525817871094,1.0231884717941284,245,-40.33212661743164,4599,2.3880186,93,67.6905746459961
23500,4700,0.05973142385482788,0.0007,-73.26371002197266,1.0222762823104858,251,-40.305999755859375,4699,1.4006073,93,4.079471588134766
24000,4800,0.0,0.0007,42.895042419433594,1.025030493736267,258,-40.37590408325195,4799,1.2301958,92,1.1925417184829712
24500,4900,0.0026746392250061035,0.0007,-292.8894958496094,1.0265201330184937,265,-40.418277740478516,4899,0.873616,92,69.64530944824219
25000,5000,0.007503628730773926,0.0007,67.52622985839844,1.028557538986206,272,-40.483619689941406,4999,-0.65900236,91,13.400138854980469
25500,5100,1.1920928955078125e-07,0.0007,222.9302520751953,1.0288251638412476,278,-40.489173889160156,5099,-3.6952868,91,42.05440139770508
26000,5200,0.0,0.0007,409.50238037109375,1.0282306671142578,285,-40.47364044189453,5199,1.4698986,91,200.67813110351562
26500,5300,1.1920928955078125e-07,0.0007,-1454.3638916015625,1.0277153253555298,292,-40.448848724365234,5299,-22.139853,90,1579.350830078125
27000,5400,0.14706486463546753,0.0007,12.35720157623291,1.029264211654663,299,-40.48760223388672,5399,1.1151184,90,1.3417637348175049
27500,5500,0.0,0.0007,-51.18942642211914,1.0291143655776978,305,-40.488773345947266,5499,0.75767076,89,1.666882872581482
28000,5600,1.1920928955078125e-07,0.0007,5.446468830108643,1.0283281803131104,312,-40.45817565917969,5599,2.1138234,89,0.6102702021598816
28500,5700,0.0,0.0007,40.394874572753906,1.0293684005737305,319,-40.49383544921875,5699,-0.929112,89,1.619174599647522
29000,5800,0.0,0.0007,304.0340576171875,1.0295485258102417,325,-40.49309158325195,5799,0.18479131,89,58.13216018676758
29500,5900,0.0,0.0007,715.9253540039062,1.0302836894989014,332,-40.51163864135742,5899,9.632313,88,344.4083557128906
30000,6000,0.0,0.0007,2.7242584228515625,1.0310395956039429,338,-40.53410339355469,5999,2.6117558,88,143.66285705566406
30500,6100,0.0,0.0007,-7.523289680480957,1.0307896137237549,342,-40.51848220825195,6099,-1.3804123,89,0.08678358793258667
31000,6200,1.1920928955078125e-07,0.0007,-30.078664779663086,1.0310440063476562,346,-40.52586364746094,6199,-1.041963,89,0.9866118431091309
